timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 21:35:50.538, 27.08 W, 58, 1552 MHz, 810 MHz
2026/04/28 21:35:51.547, 27.06 W, 58, 1552 MHz, 810 MHz
2026/04/28 21:35:52.548, 40.10 W, 59, 1552 MHz, 7301 MHz
2026/04/28 21:35:53.549, 78.86 W, 65, 1552 MHz, 7301 MHz
2026/04/28 21:35:54.550, 84.63 W, 65, 1552 MHz, 7301 MHz
2026/04/28 21:35:55.551, 85.79 W, 66, 1552 MHz, 7301 MHz
2026/04/28 21:35:56.553, 87.31 W, 68, 1552 MHz, 7301 MHz
2026/04/28 21:35:57.554, 88.52 W, 69, 1552 MHz, 7301 MHz
2026/04/28 21:35:58.555, 87.65 W, 68, 1552 MHz, 7301 MHz
